statistics_date,HKN,HCN,TNN,XAN,QJN,JBN,ZJN,IHN,JTN,TJN,TEN,MJN,MHN,IYN,GDN,VTN
20190524,11519514.0,124055.0,726925.0,30346.0,488301.0,1844987.0,156102.0,88.0,103.0,10280.0,0.0,337.5,849.3,121.0,113024.0,0.0
20190525,9449723.0,116201.0,578583.0,31576.0,488301.0,1511680.0,137643.0,223.0,129.0,10566.0,0.0,291.3,591.0,441.0,113860.0,0.0
20190526,10984602.0,127641.0,646232.0,50739.0,523717.0,1819931.0,137102.0,351.0,168.0,11818.0,10.0,540.8,1142.9,832.0,127805.0,0.0
20190527,9707633.0,139149.0,683157.0,34988.0,508677.0,1794091.0,150294.0,49.0,47.0,15543.0,11.0,104.1,995.0,124.0,125796.0,0.0
20190528,8841886.0,125876.0,589156.0,28251.0,429951.0,1624099.0,129817.0,213.0,24.0,13689.0,0.0,133.1,495.5,229.0,98224.0,0.0
20190529,8664260.0,105213.0,547794.0,45289.0,425686.0,1515096.0,126038.0,92.0,66.0,11402.0,0.0,138.8,623.3,39.0,95785.0,0.0
20190530,8828857.0,107456.0,550811.0,32478.0,438610.0,1547322.0,132987.0,73.0,29.0,10316.0,0.0,93.0,445.8,74.0,93179.0,0.0
20190531,10746692.0,145235.0,605311.0,32847.0,482282.0,1706472.0,141036.0,231.0,127.0,11911.0,0.0,146.6,647.3,393.0,108309.0,0.0
20190601,9013280.0,135094.0,600125.0,35427.0,479482.0,1512566.0,134737.0,70.0,63.0,15217.0,0.0,580.3,755.0,303.0,139678.0,0.0
20190602,9806317.0,140372.0,751646.0,65881.0,577647.0,1686198.0,147498.0,378.0,181.0,16363.0,0.0,311.0,1465.2,752.0,141224.0,0.0
20190603,9142732.0,137456.0,734656.0,48086.0,534033.0,1709602.0,150163.0,110.0,79.0,14373.0,0.0,245.4,613.8,81.0,123482.0,0.0
20190604,8332799.0,118642.0,635501.0,34524.0,426626.0,1496194.0,129794.0,48.0,97.0,13080.0,126.0,196.5,642.6,148.0,91487.0,0.0
20190605,9695600.0,139284.0,707621.0,39261.0,436266.0,1667907.0,132228.0,140.0,82.0,11260.0,0.0,166.5,734.0,83.0,99661.0,0.0
20190606,16024692.0,165988.0,768146.0,42453.0,519862.0,2152459.0,139515.0,207.0,236.0,16050.0,0.0,598.3,1339.6,359.0,150023.0,0.0
20190607,13802120.0,175056.0,645270.0,40742.0,445754.0,1721516.0,145880.0,223.0,238.0,21273.0,0.0,1000.2,1598.1,366.0,176204.0,0.0
20190608,7974602.0,162401.0,864072.0,82267.0,621224.0,1721546.0,178401.0,451.0,492.0,29075.0,11.0,999.3,2493.6,818.0,165920.0,0.0
20190609,15958471.0,235839.0,1364590.0,140076.0,883373.0,2658987.0,248138.0,677.0,461.0,18364.0,9.0,1375.0,4124.8,2131.0,244718.0,0.0
20190610,14121233.0,191698.0,866947.0,77369.0,846885.0,3005005.0,243219.0,136.0,87.0,16856.0,0.0,612.7,1668.2,243.0,189400.0,0.0
20190611,11088158.0,178227.0,891412.0,61432.0,633031.0,2085985.0,168320.0,283.0,83.0,13636.0,0.0,285.2,626.9,122.0,118529.0,0.0
20190612,10232901.0,143608.0,781110.0,43797.0,573918.0,1875171.0,167385.0,37.0,33.0,9257.0,0.0,285.9,743.1,139.0,116057.0,0.0
20190613,9849663.0,140943.0,707797.0,39153.0,490769.0,1794687.0,155199.0,107.0,46.0,11172.0,0.0,352.3,693.1,41.0,109523.0,0.0
20190614,11428595.0,156095.0,712971.0,38294.0,503843.0,1951910.0,147373.0,122.0,169.0,9485.0,0.0,286.7,557.4,136.0,126454.0,0.0
20190615,10285718.0,158659.0,709265.0,36040.0,515310.0,2020564.0,149225.0,108.0,298.0,14896.0,0.0,470.4,557.4,346.0,147905.0,0.0
20190616,11970413.0,138721.0,799525.0,44773.0,695157.0,1995588.0,146042.0,137.0,226.0,10572.0,0.0,475.5,1259.1,974.0,134075.0,0.0
20190617,12399704.0,185132.0,709875.0,40994.0,569956.0,1956504.0,151713.0,106.0,120.0,12985.0,0.0,143.1,454.5,128.0,118775.0,0.0
20190618,9888996.0,135401.0,665593.0,36946.0,537201.0,1600600.0,134207.0,114.0,86.0,12526.0,0.0,432.2,567.2,102.0,98424.0,0.0
20190619,9896762.0,134311.0,669865.0,41664.0,467667.0,1703086.0,145588.0,88.0,202.0,11582.0,0.0,240.2,622.0,109.0,102875.0,0.0
20190620,10523929.0,139627.0,656897.0,43879.0,481190.0,1911436.0,145382.0,24.0,30.0,12024.0,0.0,105.3,898.6,95.0,103637.0,0.0
20190621,13524804.0,118347.0,642430.0,39854.0,439211.0,1875354.0,138251.0,151.0,119.0,11040.0,0.0,475.4,951.9,191.0,115074.0,0.0
