20190921,8847246,98915,554596,26508,383707,1430936,131373,115,108,13933,0,193.3,516.2,106,113460,0
20190922,9984739,109595,551739,28559,388528,1391611,118252,194,74,13867,7,443.3,827.2,622,121935,0
20190923,9826106,110180,573677,28434,407048,1544589,135976,195,81,13679,0,300.5,575.9,17,110297,0
20190924,8595064,102945,491787,23559,373901,1360711,126415,247,59,14666,0,204.5,448.1,105,90580,0
20190925,8665906,91733,520468,25615,392250,1332933,119899,58,51,11434,0,132,404.1,92,93293,0
20190926,8738682,99612,475789,24180,358082,1409260,110669,153.5,39,12396,0,158.1,878.1,39,94383,0
20190927,9722221,99428,524406,23534,365811,1397038,119933,160,49,13276,0,140,733.6,52,98384,0
20190928,10777616,111611,515737,24882,378653,1511067,123432,71,63,13276,0,449,527.2,209,106885,0
20190929,12256426,114638,559551,27801,404295,1650356,113973,519,70,15653,0,392.3,890.4,122,106207,0
20190930,18349110,182456,832740,44762,521820,2314819,143036,856,178,15322,0,574.5,826.5,183,207798,0
20191001,19944527,236501,912136,110109,613140,2726364,151548,245,171,25649,0,728.6,1790.3,186,324001,0
20191002,16544704,200746,890030,71783,595818,2047674,179164,247,137,46922,22,943.7,1750.9,400,219943,0
20191003,14527835,199950,1186153,108524,717826,2257849,199440,74,341,24448,11,673.1,2533.2,951,225858,0
20191004,13876081,224610,1371647,110126,861317,2728496,194877,148,187,23039,0,766.2,2177.5,551,175930,0
20191005,15351653,179223,966413,95689,607610,2438092,204935,87,176,18874,0,755.3,2594.4,926,179696,0
20191006,16992985,139296,631384,74278,493456,1922712,197933,253,243,18097,0,987.9,4125.4,1180,290529,0
20191007,17875846,170280,621699,73788,398470,1739653,184659,341,129,16044,0,1114.1,3908.3,1052,323725,0
20191008,14622973,127094,900142,61162,558756,2362704,195307,120,50,19283,51,590.8,1502,367,191240,0
20191009,13193447,155134,1050242,56585,684884,2264380,211209,55,111,13887,0,320.9,1047.6,98,120635,0
20191010,11158658,160328,964977,51655,675823,2029153,187309,761,30,11753,0,99.8,756.1,100,109798,0
20191011,9601590,139566,787827,36180,555710,1855575,165444,37,65,11451,0,434.7,773.4,223,110359,0
20191012,8592539,121686,730618,29225,474428,1618406,165403,50,97,12164,0,249.5,721.3,233,110024,0
20191013,9028999,131250,729000,33292,514482,1698516,147453,1066,65,14288,11,591.6,943.8,319,135943,0
20191014,9111045,116094,707552,34641,493216,1626294,152491,139,56,16281,0,608.9,802.4,128,127329,0
20191015,8903161,128553,649312,30455,460488,1630944,149141,55,49,14156,0,254,742.7,59,119715,0
20191016,9248523,124238,613827,35965,451752,1639322,136448,235,87,15363,0,561.9,634.8,138,117568,0
20191017,9633426,132131,600708,30566,406387,1604999,132844,230,122,13536,0,246.5,576.9,105,124070,0
20191018,11829362,149628,692647,32556,490435,1814795,154308,359,90,17680,0,278.9,1328.3,128,168197,0
20191019,9655451,133142,661647,39664,477894,1731007,149814,359,338,15450,11,616.7,1218.7,152,162863,0
20191020,10000140,153784,724956,50607,547987,1946118,155032,386,297,21217,0,195.2,1442.7,780,192972,0
20191021,9894677,146442,793983,51263,552701,2048454,157801,146,106,18694,0,167.6,828.8,125,164747,0
20191022,8343929,122910,598290,30387,453289,1617096,137152,176,197,18267,0,317.6,952.7,98,123389,0
20191023,7944095,105423,564068,29819,397863,1434400,123086,37,29,15730,0,232.9,760.6,52,114272,0
20191024,8161218,102545,600368,35502,419182,1579174,122396,130,65,15620,0,497.3,745.3,52,116742,0
20191025,10639450,130906,585233,32302,515204,1859398,137997,298,78,17772,0,408.2,725.2,182,164901,0
20191026,8650203,122265,612655,29901,451952,1585801,148845,106,212,19384,0,448.8,1133.5,126,156708,0
20191027,9565936,212520,742055,38492,499660,1965601,140372,239,157,21560,0,356.2,2049.9,628,223571,0
20191028,9455248,113547,739888,38623,488185,1854103,169144,94,122,18776,0,254.8,967.5,108,156377,0
20191029,7562747,100016,597864,30888,392943,1437159,142896,37,66,18174,0,184,858.6,155,111711,0
20191030,7551143,104890,521006,26318,417523,1480334,139880,55,73,13884,0,153.4,863.2,63,91531,0
20191031,8257252,116077,566243,26592,379010,1563965,152246,598,116,12709,0,498.7,388.3,63,104081,0
20191101,10501182,139330,629829,29938,466566,1681502,158203,218,83,15349,0,691.3,963.7,49,143917,0
20191102,8951915,129627,582108,35299,438526,1570148,148045,60,20,15704,0,176,615.3,147,172534,0
20191103,10286221,135597,721905,48706,546019,1819110,165485,160,1753,18124,0,668.9,1964.8,667,193976,0
20191104,10206949,130983,738591,43045,526339,1710722,162855,73,76,15686,0,176.6,713.1,140,149712,0
20191105,8884178,115112,571520,22162,439862,1465868,143968,110,50,15559,0,110.9,594.2,98,104105,0
20191106,8108089,105943,583892,21122,409369,1432177,130158,18,128,12953,0,119.3,631.8,46,112089,0
20191107,8421592,109948,583208,18154,429541,1456597,129769,180,134,11892,11,205.9,656.1,50,111601,0
20191108,10239828,123892,656220,28555,492572,1770140,150747,350,83,11968,0,321.2,480.5,224,143946,0
20191109,8365107,111606,625042,23599,438789,1740274,150021,48,188,13564,0,150.8,908.7,124,162059,0
20191110,9906043,129005,717221,27399,486043,1793297,151701,189,188,18497,0,349.6,1622.2,769,165928,0
